text,label
I like this,0
Have a great day,0
Thank you for your help,0
This is awesome,0
You are very kind,0
Nice work team,0
I appreciate you,0
All the best,0
Great effort,0
Well done,0
That was helpful,0
Thanks for explaining,0
Your work is improving,0
Keep going,0
I respect your opinion,0
Let us solve this together,0
Good luck,0
That is a smart idea,0
Great presentation,0
I like your approach,0
Please share the document,0
Can you help me,0
Let us schedule a meeting,0
Please update me,0
I will review it,0
Thanks for your patience,0
This is a reminder,0
Let us keep it respectful,0
Your feedback matters,0
I appreciate your time,0
Nice to meet you,0
Hope you feel better,0
Take care,0
I understand your concern,0
Thanks for clarifying,0
That makes sense,0
Good morning,0
Please send details,0
Your service is excellent,0
This design is clean,0
Your explanation helped,0
Thank you for guidance,0
Let us do it step by step,0
I hate you,1
You are stupid,1
You are an idiot,1
Go away loser,1
You are disgusting,1
I will hurt you,1
Shut up moron,1
You are trash,1
You are worthless,1
Get lost idiot,1
You are annoying,1
Nobody likes you,1
You make things worse,1
Stop talking fool,1
You are a failure,1
You are pathetic,1
You are a joke,1
I cannot stand you,1
I despise you,1
You are the worst,1
Your work is terrible,1
You ruined it,1
Why are you dumb,1
You are useless,1
You are incompetent,1
This is garbage,1
You always mess up,1
You are hopeless,1
You are a problem,1
You are a clown,1
Stop being stupid,1
You are embarrassing,1
You are a loser,1
Get out of here,1
You are a pain,1
You caused this failure,1
You make me sick,1
You are irritating,1
You are unbearable,1
You are toxic,1
You are a bad person,1
Nobody cares about you,1
You are not wanted,1
You are rude,1
Go away forever,1
I wish you disappear,1
You deserve nothing,1
You are always wrong,1
You are horrible,1
Stop bothering me,1
You are ridiculous,1
Just shut up,1
It should be legal for a husband to rape his wife,1
dalits are lowlife scum,1
dalits are lowlives,1
It was a better world when women dare not question men,1
I don't work this hard so that those immigrants can take all the benefits,1
I don't work this hard so that those migrants can take all the benefits,1
I don't work this hard so that those foreigners can take all the benefits,1
I don't work this hard so that those Hispanics can take all the benefits,1
I don't work this hard so that those chavs can take all the benefits,1
I don't work this hard so that all those pakis can take the benefits,1
I don't work this hard so that all those muslims can take the benefits,1
foreigners are a burden to our society,1
immigrants are a burden to our society,1
women are a burden to our society,1
gay people are a burden to our society,1
gay people are a burden on our society,1
Why is it that foreigners smell weird? Do they not wash?,1
Why is it that french people smell weird? Do they not wash?,1
Why is it that white people smell weird? Do they not wash?,1
Why is it that asian people smell weird? Do they not wash?,1
Why is it that black people smell weird? Do they not wash?,1
Why is it that Africans smell weird? Do they not wash?,1
